week_monday,total_females,number_of_traps,females - mixed
2016-05-02,4320.0,33,130.9090909090909
2016-05-09,5166.0,32,161.4375
2016-05-16,3175.0,32,99.21875
2016-05-23,4794.0,31,154.6451612903226
2016-05-30,5589.0,32,174.65625
2016-06-06,4377.0,32,136.78125
2016-06-13,3611.0,26,138.8846153846154
2016-06-20,6214.0,31,200.4516129032258
2016-06-27,4151.0,30,138.36666666666667
2016-07-04,4178.0,31,134.7741935483871
2016-07-11,2840.0,33,86.06060606060606
2016-07-18,2787.0,32,87.09375
2016-07-25,1854.0,32,57.9375
2017-03-06,528.0,34,15.529411764705882
2017-03-13,536.0,41,13.073170731707316
2017-03-27,2380.0,40,59.5
2017-04-03,4984.0,39,127.7948717948718
2017-04-10,1789.0,40,44.725
2017-04-17,4485.0,40,112.125
2017-04-24,4713.0,41,114.95121951219512
2017-05-01,7351.0,40,183.775
2017-05-08,2825.0,42,67.26190476190476
2017-05-15,3753.0,40,93.825
2017-05-22,5294.0,42,126.04761904761905
2017-05-29,4943.0,40,123.575
2017-06-05,3922.0,39,100.56410256410257
2017-06-12,5851.0,35,167.17142857142858
2017-06-19,4566.0,37,123.4054054054054
2017-06-26,7271.0,41,177.34146341463415
2017-07-10,2255.0,34,66.32352941176471
2017-07-17,4561.0,42,108.5952380952381
2017-07-24,7107.0,38,187.02631578947367
2017-07-31,4900.0,39,125.64102564102564
2017-08-07,1563.0,40,39.075
2017-08-14,3358.0,38,88.36842105263158
2017-08-21,2932.0,34,86.23529411764706
2017-08-28,1025.0,25,41.0
2017-09-04,1428.0,38,37.578947368421055
2017-09-11,1759.0,29,60.6551724137931
2017-09-18,3199.0,37,86.45945945945945
2017-09-25,2564.0,31,82.70967741935483
2017-10-02,1251.0,21,59.57142857142857
2017-10-09,3361.0,36,93.36111111111111
2017-10-16,1476.0,39,37.84615384615385
2017-10-23,4203.0,39,107.76923076923077
2017-10-30,3697.0,41,90.17073170731707
2017-11-06,3839.0,42,91.4047619047619
2017-11-13,3048.0,37,82.37837837837837
2017-11-20,1910.0,40,47.75
2017-11-27,928.0,41,22.634146341463413
2018-02-26,1175.0,42,27.976190476190474
2018-03-05,2265.0,43,52.674418604651166
2018-03-12,948.0,39,24.307692307692307
2018-03-19,3952.0,42,94.0952380952381
2018-03-26,2357.0,42,56.11904761904762
2018-04-02,5759.0,42,137.11904761904762
2018-04-09,7559.0,40,188.975
2018-04-16,10877.0,42,258.9761904761905
2018-04-23,8458.0,45,187.95555555555555
2018-04-30,6066.0,42,144.42857142857142
2018-05-07,10711.0,42,255.02380952380952
2018-05-14,14210.0,42,338.3333333333333
2018-05-21,7680.0,44,174.54545454545453
